指标,说明
技术指标说明,
1. MA交叉(12%),MA5与MA20交叉是重要的趋势转换信号。当5日均线上穿20日均线时，表示可能开始上涨趋势。
2. 布林带(12%),布林带是以移动平均线为中轨，上下各加减两个标准差形成的带状区域。当价格接近下轨时，可能存在超卖机会。
3. RSI(8%),相对强弱指标，用于判断超买超卖。RSI低于30表示超卖，低于40表示较弱。
4. MACD(12%),平滑异同移动平均线，是重要的趋势指标。当MACD柱由负转正时，表示可能形成上涨趋势。
5. KDJ(8%),随机指标，用于判断超买超卖。K值小于20表示超卖，是买入机会。
6. 成交量(12%),成交量是价格变动的确认指标。当成交量较前期明显放大时，表示趋势更可靠。
7. DMI(8%),趋势方向指标，用于判断趋势强度。ADX大于25且+DI大于-DI时，表示上涨趋势强劲。
8. CCI(5%),顺势指标，用于判断价格偏离程度。CCI在-100到-80之间时，表示可能存在买入机会。
9. TRIX(5%),三重指数平滑移动平均指标，用于判断中长期趋势。TRIX由负转正且持续上升，表示趋势向好。
10. OBV(6%),能量潮指标，用于判断趋势的持续性。当OBV上升且大于其MA时，表示趋势向上。
11. WR(6%),威廉指标，用于判断超买超卖。WR小于-80表示超卖，小于-60表示较弱。
12. EMV(6%),简易波动指标，用于判断趋势的强度。当EMV大于其MA且大于0时，表示趋势向上。
,
信号得分说明,各指标得分根据其重要性赋予不同权重，总分大于0.3时产生买入信号。得分越高，信号越强。
,
筛选结果,以下是按信号得分排序的股票列表：
,
代码,名称,信号得分,当前价格,市值(亿),日成交额(亿),买入理由
002281,光迅科技,0.53,48.3,383.62,42.43,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
002916,深南电路,0.48,102.14,524.21,6.22,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
603986,兆易创新,0.43,95.98,640.61,79.13,MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
601865,福莱特,0.43,22.1,517.79,4.15,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
600183,生益科技,0.42,23.53,572.37,10.99,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000875,吉电股份,0.39,5.63,204.58,3.7,MA5上穿MA20；MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
600941,中国移动,0.39,111.99,24056.96,23.38,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
301358,湖南裕能,0.38,44.9,339.55,4.9,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；WR超卖
002624,完美世界,0.38,11.69,226.98,12.27,价格接近布林带下轨；KDJ超卖；成交量放大；ADX强势；CCI回归；WR超卖
601398,工商银行,0.37,6.53,23308.97,25.88,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002400,省广集团,0.37,11.7,207.11,75.03,MACD金叉；成交量放大；ADX强势；TRIX上升；EMV上升
000981,山子高科,0.37,2.95,294.93,29.88,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601012,隆基绿能,0.36,16.77,1271.6,10.09,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
600438,通威股份,0.36,23.51,1059.32,8.18,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
601933,永辉超市,0.36,7.57,691.52,91.49,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000895,双汇发展,0.35,26.12,906.01,6.02,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002607,中公教育,0.35,4.28,263.96,39.14,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
001965,招商公路,0.35,13.11,895.51,5.11,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002459,晶澳科技,0.34,15.04,498.11,5.67,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
600886,国投电力,0.34,16.5,1231.43,4.9,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
000400,许继电气,0.34,27.16,276.73,4.62,MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
600938,中国海油,0.34,27.78,13184.81,13.97,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002074,国轩高科,0.34,21.54,388.14,4.63,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
000062,深圳华强,0.34,24.6,257.61,3.61,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002409,雅克科技,0.34,59.81,284.75,4.07,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002812,恩捷股份,0.34,34.29,333.15,3.29,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
000792,盐湖股份,0.33,16.57,900.23,8.83,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
600795,国电电力,0.33,4.76,848.98,6.94,MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
600089,特变电工,0.33,12.57,634.63,8.22,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
601216,君正集团,0.33,6.25,527.38,22.01,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
002466,天齐锂业,0.33,35.1,576.4,7.44,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002179,中航光电,0.33,38.0,805.68,4.5,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
000628,高新发展,0.33,61.28,215.77,14.3,MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
600111,北方稀土,0.33,22.07,798.57,4.62,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
600674,川投能源,0.33,17.3,842.82,9.16,MACD金叉；成交量放大；ADX强势；TRIX上升；OBV上升趋势；EMV上升
600436,片仔癀,0.33,217.8,1315.05,7.2,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600025,华能水电,0.33,9.8,1767.6,4.69,MACD金叉；成交量放大；ADX强势；OBV上升趋势；EMV上升
600383,金地集团,0.32,4.92,222.57,6.28,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
601288,农业银行,0.32,5.11,17919.13,24.06,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
601360,三六零,0.32,11.64,815.45,24.68,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600588,用友网络,0.32,11.87,405.6,2.85,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002423,中粮资本,0.32,14.35,330.87,4.77,价格接近布林带下轨；RSI超卖；KDJ超卖；ADX强势；WR超卖
000158,常山北明,0.32,24.5,391.66,34.64,价格接近布林带下轨；RSI超卖；KDJ超卖；成交量放大；OBV上升趋势；WR超卖
600256,广汇能源,0.32,6.99,459.6,4.5,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600745,闻泰科技,0.31,34.96,435.31,9.06,价格接近布林带下轨；RSI超卖；KDJ超卖；CCI回归；WR超卖
600707,彩虹股份,0.31,8.17,293.89,6.51,MACD金叉；ADX强势；TRIX上升；OBV上升趋势；EMV上升
603806,福斯特,0.31,15.43,403.05,3.19,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
600276,恒瑞医药,0.31,46.02,2937.53,13.55,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
002129,TCL中环,0.31,9.49,383.29,5.23,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
600732,爱旭股份,0.31,12.33,225.73,5.04,价格接近布林带下轨；RSI超卖；KDJ超卖；WR超卖
