date,code,name,direction,price,volume,reason
2024-10-09,000157,中联重科,BUY,7.05,1500,
2024-10-09,000157,中联重科,BUY,6.95,1500,
2024-10-09,000625,长安汽车,BUY,13.76,800,
2024-10-10,000157,中联重科,SELL,7.15,1400,
2024-10-10,000157,中联重科,SELL,7.25,1400,
2024-10-10,000625,长安汽车,SELL,13.99,800,
2024-10-11,000157,中联重科,BUY,6.95,1600,
2024-10-11,000625,长安汽车,BUY,13.15,800,
2024-10-15,000625,长安汽车,BUY,13.05,800,
2024-10-16,000157,中联重科,BUY,6.79,1500,
2024-10-18,000625,长安汽车,SELL,13.20,800,
2024-10-18,000157,中联重科,SELL,6.96,1500,
2024-10-23,000625,长安汽车,SELL,13.88,800,
2024-10-23,000157,中联重科,SELL,6.95,1500,
2024-10-29,000157,中联重科,BUY,6.79,1500,
2024-10-30,000625,长安汽车,BUY,13.20,800,
2024-10-31,000157,中联重科,SELL,7.05,1800,
2024-11-04,000625,长安汽车,SELL,13.88,800,
2024-11-12,600221,海航控股,BUY,1.95,5200,
2024-11-12,600221,海航控股,BUY,1.94,5200,
2024-11-12,600988,赤峰黄金,BUY,17.08,600,
2024-11-14,600221,海航控股,BUY,1.78,5800,
2024-11-22,002475,立讯精密,BUY,38.20,300,
2024-11-22,002423,中粮资本,BUY,15.65,700,
2024-11-27,002423,中粮资本,BUY,14.60,300,
2024-11-27,002475,立讯精密,SELL,38.25,100,
2024-11-27,601126,四方股份,BUY,16.50,200,
2024-11-27,002475,立讯精密,SELL,39.40,100,
2024-11-28,000921,海信家电,BUY,26.85,100,
2024-11-28,600221,海航控股,SELL,1.75,1800,
2024-11-28,002456,欧菲光,BUY,13.60,200,
2024-11-29,002583,海能达,BUY,17.00,200,
2024-12-02,600221,海航控股,SELL,1.85,1800,
2024-12-02,600221,海航控股,SELL,1.90,1600,
2024-12-02,600221,海航控股,SELL,1.91,1600,
2024-12-02,002475,立讯精密,SELL,40.60,100,
2024-12-03,000157,中联重科,BUY,6.95,500,
2024-12-03,000921,海信家电,BUY,27.10,100,
2024-12-03,002456,欧菲光,BUY,13.66,200,
2024-12-03,600031,三一重工,BUY,16.98,200,
2024-12-03,600221,海航控股,SELL,2.03,1500,
2024-12-04,600406,国电南瑞,BUY,24.65,100,
2024-12-04,002456,欧菲光,BUY,13.60,200,
2024-12-04,600221,海航控股,BUY,1.86,1800,
2024-12-06,002456,欧菲光,SELL,14.29,200,
2024-12-06,000921,海信家电,SELL,27.74,100,
2024-12-06,601126,四方股份,SELL,17.29,200,
2024-12-06,600406,国电南瑞,SELL,24.99,100,
2024-12-09,600221,海航控股,SELL,2.00,1500,
2024-12-09,600031,三一重工,BUY,16.80,200,
2024-12-09,002583,海能达,BUY,16.72,200,
2024-12-09,600839,四川长虹,BUY,10.88,300,
2024-12-09,002456,欧菲光,BUY,13.66,200,
2024-12-10,002583,海能达,BUY,16.65,200,
2024-12-11,000921,海信家电,SELL,30.05,100,
2024-12-11,600988,赤峰黄金,SELL,17.25,200,
2024-12-12,600988,赤峰黄金,SELL,17.42,200,
2024-12-13,600031,三一重工,BUY,16.68,200,
2024-12-13,002456,欧菲光,BUY,13.50,200,
2024-12-13,600839,四川长虹,BUY,10.70,300,
2024-12-16,002456,欧菲光,BUY,13.00,200,
2024-12-18,600221,海航控股,SELL,1.88,1600,
2024-12-18,000157,中联重科,SELL,7.06,500,
2024-12-18,002583,海能达,SELL,18.37,200,